Explanation,Keyword,Value
炭素同化量,CoeffCarbonAssimilation,13.86718988
ショ糖生成量の係数０,Coeff0SucroseProduction,13.86718988
ショ糖生成量の係数１,Coeff1SucroseProduction,1.010625
ショ糖転流量の係数,CoeffSucroseTranslocation,0.0576
根ショ糖要求の係数0,Coeff0RsRootage,80
根ショ糖要求の係数1,Coeff1RsRootage,960
籾ショ糖要求の係数,CoeffRsRoughRice,0.5
ショ糖転流量の係数.1,CoeffRsTranslocation,0.01
葉身代謝ショ糖要求の係数,CoeffRsmLeafBlade,0.02
葉鞘代謝ショ糖要求の係数,CoeffRsmLeafSheath,0.018
稈代謝ショ糖要求の係数,CoeffRsmCulm,0.015
根代謝ショ糖要求の係数,CoeffRsmRootage,0.015
穂代謝ショ糖要求の係数,CoeffRsmSpike,0.015
籾代謝ショ糖要求の係数,CoeffRsmRoughRice,0.011
胚乳代謝ショ糖要求の係数,CoeffRsmEndosperm,0.011
葉身重量の係数,CoeffWeightLeafBlade,0.8
葉鞘重量の係数,CoeffWeightLeafSheath,0.8
稈重量の係数,CoeffWeightCulm,0.8
根重量の係数,CoeffWeightRootage,0.8
穂重量の係数,CoeffWeightSpike,0.8
籾重量の係数,CoeffWeightRoughRice,0.8
胚乳重量の係数,CoeffWeightEndosperm,0.8
葉身表面積の係数,CoeffSurfaceAreaOfLeafBlade,0.132
根表面積の係数,CoeffSurfaceAreaOfRootage,0.1
籾容積の係数0,Coeff0VolumeOfRoughRice,1
籾容積の係数1,Coeff1VolumeOfRoughRice,1
流亡の係数,CoeffLoss,0.0025
窒素同化の係数０,Coeff0NitrogenAssimilation,0.01596
窒素同化の係数１,Coeff1NitrogenAssimilation,0.0168
窒素転流量の係数,CoeffNitrogenTranslocation,1
窒素転流量の定数,ConstNitrogenTranslocation,1
葉鞘窒素要求量の係数,CoeffRnLeafSheath,0.0625
稈窒素要求量の係数,CoeffRnCulm,0.1
幼穂窒素要求量の係数,CoeffRnPanicle,0.2
穂窒素要求量の係数,CoeffRnSpike,5.00E-09
胚窒素要求量の係数,CoeffRnRoughRice,0.5
胚乳窒素要求量の係数,CoeffRnEndosperm,0.5
葉緑体崩壊要求量の係数,CoeffRnChloroplastBreakup,1
くず米率の係数,CoeffRiceScreeningsRate,1
粗玄米重量の係数,CoeffWeightGrossBrownRice,1
乳白米率の係数,CoeffMilkyWhiteRiceRate,1
タンパク質の係数,CoeffProtein,1
アミロースの係数,CoeffAmylose,1
葉面蒸発の係数,CoeffEvaporationFromLeafSurface,0.1
日中上昇温度の係数,CoeffIncreasingDaytimeTemperature,0.0495
夜間降下温度の係数,CoeffDecreasingNighttimeTemperature,90000
赤色吸収率の係数,CoeffRedAbsorptionRate,0.9
脱窒の係数,CoeffDenitrification,0.004
脱窒の落水加算の加算係数,CoeffIncVariableForSurfaceDrainage,0.135
脱窒の落水加算の減算係数,CoeffDecVariableForSurfaceDrainage,-0.15
登熟期移行窒素要求量の係数,CoeffRnTransformGrowthStage,8.00E-06
葉身からの窒素転流率の係数,CoeffNTranslocationChoropalstBreakup,0.0055
