title,coeff0,coeff1,const,coeffBreed,select,japanese,unit,dbKey,discription,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
気象条件,,,,,,,,,,,,,
,,,,,1.0,日中気温(実績),℃,DaytimeTemperature,気象データから取得,,,,
,,,,,2.0,夜間気温(実績),℃,NighttimeTemperature,気象データから取得,,,,
,,,,,3.0,,,DiffTemperature,,,,,
,,,,,4.0,日射量(実測),Mj/m2,SolarRadiation,推測値しかない→直近の（１０時間前？）推定値を積算して仕様する。,,,,
,,,,,5.0,降雨(実績),mm,Rainfall,気象データから取得,,,,
,,,,,,湿度(実績),%,Humidity,推測値しかない,,,,
,,,,,,雲量(実績),％,,項目削除,,,,
,,,,,,日中気温(予測),℃,,とりあえず、0.8 x 予想最高気温 ＋ 0.2 x 予想最低気温,,,,
,,,,,,夜間気温(予測),℃,,とりあえず、0.2 x 予想最高気温 ＋ 0.8 x 予想最低気温,,,,
,,,,,,日射量(予測),Mj/m2,,気象データから取得,,,,
,,,,,,降雨(予測),mm,,降水確率　x 10mm,,,,
,,,,,,湿度(予測),%,,(降水確率 x 80%) + 20%,,,,
,,,,,,雲量(予測),％,,使わない,,,,
,,,,,1.0,,,AveDaytimeTemperature,,,,,
,,,,,2.0,,,AveNighttimeTemperature,,,,,
,,,,,4.0,,,AveSolarRadiation,,,,,
,,,,,3.0,,,AveDiffTemperature,,,,,
水収支,,,,,,,,,,,,,
,coeff0,coeff1,const,coeffBreed,,,単位,dbKey,計算式,,,,
,,,,,,入水,mm,SourceWater,使用しない,,,,
,,,,,,排水,mm,DrainWater,使用しない,,,,
,,,,,5.0,水面蒸発,mm,EvaporationFromWaterSurface,（０．０８７ x （２０-日中気温) x (1．０ー湿度）＋０．１１３ x （１．０ー湿度））x ２４,,,,
,0.1,,,,5.0,葉面蒸発,mm,EvaporationFromLeafSurface,係数 x 受光面積率 x 日射量,,,,
,,,,,,減水深,mm/day,WaterRequirementRate,1日あたりの水位減 (入力情報),,,,
,,,,,5.0,浸透,mm,Osmosis,減水深 - 水面蒸発,,,,
,,,,,,漏水,mm,,使用しない,,,,
,,,,,,,,,漏水は事故であり、漏水を前提として圃場はないので。,,,,
,,,,,,入水時刻,,TimeOfSourceWater,入力情報　　朝入水＝6時　夕方入水＝18時,,,,
,,,,,,,,,（朝入水で固定）,,,,
,,,,,,日中水深,mm,DaytimeWaterDepth,使用しない,,,,
,,,,,,夜間水深,mm,NighttimeWaterDepth,使用しない,,,,
,,,,,,日中水温,℃,DaytimeWaterTemperature,使用しない,,,,
,,,,,,用水温度,℃,TemperatureOfWaterForIrrigation,水源が川の場合:夜間気温ー3℃,,,,
,,,,,,,,,水源が地下水の場合:一定(15℃),,,,
,,,,,5.0,(早朝水深),mm,EarlyMorningWaterDepth,・前日の入水後水深ゼロの場合,,,,
,,,,,,,,,夜間平均気温,,,,
,,,,,,,,,・ゼロでない場合,,,,
,,,,,,,,,"Max(0, 前日の入水後水深 ー 減水深 ー 前日の葉面蒸発 ＋ 前日降雨量)",,,,
,,,,,,入水量,mm,VolumeOfSourceWater,"Max(0, 湛水 ー 早朝水深)",,,,
,,,,,5.0,入水後水深,mm,WaterDepthAfterWaterEntry,早朝水深 ＋ 入水量,,,,
,0.0495,,,,,(日中上昇温度),℃,IncreasingDaytimeTemperature,・入水後水深ゼロでない場合,,,,
,,,,,,,,,"Min(5, (係数x日射量)／(水比熱x入水後水深x 1000g/L))",,,,
,90000,,,,,(夜間下降温度),℃,DecreasingNighttimeTemperature,・前日の入水後水深ゼロでない場合,,,,
,,,,,,,,,"Min(5, (係数x (前日の夕方水温ー夜間平均気温))／(水比熱x前日の入水後水深x 1000g/L))",,,,
,,,,,6.0,(早朝水温),℃,EarlyMorningWaterTemperature,前日の夕方水温 ー 夜間降下温度,,,,
,,,,,,(入水後水温),℃,TemperatureAfterWaterEntry,・入水量ゼロの場合,,,,
,,,,,,,,,早朝水温,,,,
,,,,,,,,,・入水量ゼロでない場合,,,,
,,,,,,,,,(用水水温x入水量＋早朝水温x早朝水深)／(入水量＋早朝水深),,,,
,,,,,6.0,夕方水温,℃,EveningWaterTemperature,・前日入水後水深ゼロの場合,,,,
,,,,,,,,,日中平均気温,,,,
,,,,,,,,,・ゼロでない場合,,,,
,,,,,,,,,入水後水温 ＋ 日中上昇温度,,,,
,,,,,,夜間水温,℃,NighttimeWaterTemperature,・前日の入水後水深ゼロの場合,,,,
,,,,,,,,,夜間平均気温,,,,
,,,,,,,,,・前日の入水後水深ゼロでない場合,,,,
,,,,,,,,,(前日の夕方水温 ＋ 早朝水温)／２,,,,
肥料,,,,,,,,,,,,,
,coeff0,coeff1,const,coeffBreed,,,単位,dbKey,計算式,,,,
,,,,,7.0,無機肥料,g/m2,SnChemicalFertilizer,施肥日から　投入量/10 がNH4として供給 ,,,,
,,,,,,,,,N-P-K 10-10-10 で無機肥料率が2%の肥料を1袋/10a（20Kg)いれると、0.02x2kg/10aがNH4投入量となる,,,,
,,,,,7.0,被覆肥料,g/m2,SnCoatedFertilizer,•日数ごとの溶出量計算式(とりあえず，温度特性は無視),,,,
,,,,,,,,,f(DAY) = -{6/(溶出日数^3)}(DAY-溶出日数/2)(DAY-(3x溶出日数)/2),,,,
,,,,,,,,,•平米あたりの被覆肥料窒素重量計算,,,,
,,,,,,,,,基肥重量[kg/10a] x 被覆肥料割合 x (1000[g]/1000[㎡]),,,,
,,,,,,,,,•日数ごと㎡当たりの窒素溶出量,,,,
,,,,,,,,,窒素重量[g/㎡］x 日数ごとの溶出量,,,,
,,,,,7.0,有機肥料,g/m2,SnOrganicFertilizer,•日数ごとの溶出量計算式(とりあえず，温度特性は無視),,,,
,,,,,,,,,分解開始日と分解完了日は固定値とする,,,,
,,,,,,,,,f(DAY)=1/(-分解開始日^3/6+分解開始日 x 分解完了日^2/2+分解開始日^3/6-分解開始日^2 x 分解完了日/2),,,,
,,,,,,,,,•平米あたりの有機肥料窒素重量計算,,,,
,,,,,,,,,基肥重量[kg/10a] x 有機肥料割合 x (1000[g]/1000[㎡]),,,,
,,,,,,,,,•日数ごと㎡当たりの窒素溶出量,,,,
,,,,,,,,,窒素重量[g/㎡］x 日数ごとの溶出量,,,,
窒素収支,,,,,,,,,,,,,
,coeff0,coeff1,const,coeffBreed,,,単位,dbKey,計算式,,,,
,,,,,7.0,有機物分解,g/m2,SnOrganicDecomposition,•日数ごとの溶出量計算式(とりあえず，温度特性は無視),,,,
,,,,,,,,,分解開始日と分解完了日は牛糞、鶏糞、油かす、骨粉、等の種類により決定する,,,,
,,,,,,,,,f(DAY)=1/(-分解開始日^3/6+分解開始日 x 分解完了日^2/2+分解開始日^3/6-分解開始日^2 x 分解完了日/2),,,,
,,,,,,,,,•平米あたりの有機肥料窒素重量計算,,,,
,,,,,,,,,基肥重量[kg/10a] x 有機肥料割合 x (1000[g]/1000[㎡]),,,,
,,,,,,,,,•日数ごと㎡当たりの窒素溶出量,,,,
,,,,,,,,,窒素重量[g/㎡］x 日数ごとの溶出量,,,,
,,,,,7.0,用水供給,g/m2,SnWater,入水量（mm) x 用水窒素含有量 (用水の窒素含有量が、0.01ｍg/Lの場合、デフォルトで、○○mg/L）,,,,
,,,,,7.0,雨水供給,g/m2,SnRain,前日の雨水量 x 0.4mg,,,,
,,,,,,土壌窒素固定,g/m2,SoilNitrogenFixation,基本ゼロ,,,,
,,,,,,窒素供給量総和,g/m2,SnSum,無機肥料 + 被覆肥料 ＋ 有機肥料 ＋ 有機物分解 ＋ 用水供給 ＋ 雨水供給 + 土壌窒素固定,,,,
,,,,,8.0,土壌中窒素濃度,g/m2,SoilNitrogenConcentration,"MAX(0, 前日の土壌中窒素濃度 ー 前日の窒素同化 ー 前日の流亡 ー 前日の脱窒) ＋ 窒素供給量総和",,,,
