dbkey,label
DaytimeTemperature,日中気温
NighttimeTemperature,夜間気温
DiffTemperature,日中夜間気温差
SolarRadiation,日射量
SumDSolarRadiation,日射量
Rainfall,降雨
Humidity,湿度
EvaporationFromWaterSurface,水面蒸発
EvaporationFromLeafSurface,葉面蒸発
WaterRequirementRate,減水深
Osmosis,浸透
TemperatureOfWaterForIrrigation,用水温度
EarlyMorningWaterDepth,早朝水深
VolumeOfSourceWater,入水量
WaterDepthAfterWaterEntry,入水後水深
EarlyMorningWaterTemperature,夜間水温
TemperatureAfterWaterEntry,入水後水温
EveningWaterTemperature,日中水温
NighttimeWaterTemperature,夜間水温
SnChemicalFertilizer,無機肥料
SnCoatedFertilizer,被覆肥料
SnOrganicFertilizer,有機肥料
SnOrganicDecomposition,有機物分解
SnWater,用水供給
SnRain,雨水供給
SoilNitrogenFixation,土壌窒素固定
SnSum,窒素供給量総和
SoilNitrogenConcentration,土壌中窒素濃度
NitrogenAssimilation,窒素同化量
SumNitrogenAssimilation,累積窒素同化量
NitrogenTranslocation,窒素転流量
Loss,流亡
Denitrification,脱窒
MaxRedAbsorptionRate,赤色光吸収率
RedAbsorptionRate,平均赤色光吸収率
EffectiveSunRayReceivingAreaRate,有効受光面積率
EffectiveSolarRadiation,有効日射量
CarbonAssimilation,ショ糖生成量(日射量)
SucroseProduction,ショ糖生成量
SucroseConsumption,ショ糖消費量
DailySucroseConsumption,ショ糖消費量(日単位)
SucroseAccumulation,ショ糖蓄積量(日単位)
SucroseForGrowth,成長利用ショ糖消費量(日単位)
MaxDailySucroseProduction,ショ糖生成量(日単位)
DailyMaintenanceRespiration,維持呼吸ショ糖消費量(日単位)
SucroseTranslocation,ショ糖転流量(日単位)
RsLeafBlade,葉身ショ糖要求量
RsLeafSheath,葉鞘ショ糖要求量
RsCulm,稈ショ糖要求量
RsRootage,根ショ糖要求量
RsSpike,穂ショ糖要求量
RsRoughRice,籾ショ糖要求量
RsEndosperm,胚乳ショ糖要求量
RsmLeafBlade,葉身代謝ショ糖要求量
RsmLeafSheath,葉鞘代謝ショ糖要求量
RsmCulm,稈代謝ショ糖要求量
RsmRootage,根代謝ショ糖要求量
RsmSpike,穂代謝ショ糖要求量
RsmRoughRice,籾代謝ショ糖要求量
RsmEndosperm,胚乳代謝ショ糖要求量
RsSum,ショ糖要求総量
DsLeafBlade,葉身ショ糖分配率
DsLeafSheath,葉鞘ショ糖分配率
DsCulm,稈ショ糖分配率
DsRootage,根ショ糖分配率
DsSpike,穂ショ糖分配率
DsRoughRice,籾ショ糖分配率
DsEndosperm,胚乳ショ糖分配率
DsmLeafBlade,葉身代謝ショ糖分配率
DsmLeafSheath,葉鞘代謝ショ糖分配率
DsmCulm,稈代謝ショ糖分配率
DsmRootage,根代謝ショ糖分配率
DsmSpike,穂代謝ショ糖分配率
DsmRoughRice,籾代謝ショ糖分配率
DsmEndosperm,胚乳代謝ショ糖分配率
QsLeafBlade,葉身ショ糖分配量
QsLeafSheath,葉鞘ショ糖分配量
QsCulm,稈ショ糖分配量
QsRootage,根ショ糖分配量
QsSpike,穂ショ糖分配量
QsRoughRice,籾ショ糖分配量
QsEndosperm,胚乳ショ糖分配量
WeightLeafBlade,葉身重量
WeightLeafSheath,葉鞘重量
WeightCulm,稈重量
WeightRootage,根重量
WeightSpike,穂重量
WeightRoughRice,籾重量
WeightEndosperm,胚乳重量
WeightTotal,総重量
SurfaceAreaOfLeafBlade,葉身表面積
SurfaceAreaOfRootage,根表面積
NumberOfSpikelet,穎花分化数
NumberOfRoughRice,籾数
VolumeOfRoughRice,籾容積
RnLeafBlade,葉身窒素要求量
RnLeafSheath,葉鞘窒素要求量
RnCulm,稈窒素要求量
RnRootage,根窒素要求量
RnSpike,穂窒素要求量
RnRoughRice,胚窒素要求量
RnEndosperm,胚乳窒素要求量
RnChloroplastBreakup,葉緑体崩壊窒素要求量
RnTransformGrowthStage,登熟期移行用窒素要求量
RnSum,窒素総要求量
DnLeafBlade,葉身窒素分配率
DnLeafSheath,葉鞘窒素分配率
DnCulm,稈窒素分配率
DnRootage,根窒素分配率
DnSpike,穂窒素分配率
DnRoughRice,胚窒素分配率
DnEndosperm,胚乳窒素分配率
DnChloroplastBreakup,葉緑体崩壊窒素分配率
QnLeafBlade,葉身窒素分配量
QnLeafSheath,葉鞘窒素分配量
QnCulm,稈窒素分配量
QnRootage,根窒素分配量
QnSpike,穂窒素分配量
QnRoughRice,胚窒素分配量
QnEndosperm,胚乳窒素分配量
QnTransformGrowthStage,登熟期移行用窒素分配量
SucroseProductionTempTerm,ショ糖生成量(気温)
SumOfSucroseAccumulation,累積ショ糖蓄積量
SumOfSucroseProduction,累積ショ糖生成量
SumOfMaintenanceRespiration,累積維持呼吸ショ糖消費量
AveDaytimeTemperature,日中気温(10年平均)
AveNighttimeTemperature,夜間気温(10年平均)
AveDiffTemperature,日中夜間気温差(10年平均)
