Date,WaterDepthOfIrrigation,RedAbsorptionRate,EffectiveSunRayReceivingAreaRate,EffectiveSolarRadiation,CarbonAssimilation,SucroseProduction,SucroseConsumption,SucroseAccumulation,RsLeafBlade,RsLeafSheath,RsCulm,RsRootage,RsSpike,RsRoughRice,RsEndosperm,RsmLeafBlade,RsmLeafSheath,RsmCulm,RsmRootage,RsmSpike,RsmRoughRice,RsmEndosperm,RsSum,DsLeafBlade,DsLeafSheath,DsCulm,DsRootage,DsSpike,DsRoughRice,DsEndosperm,DsmLeafBlade,DsmLeafSheath,DsmCulm,DsmRootage,DsmSpike,DsmRoughRice,DsmEndosperm,WeightLeafBlade,WeightLeafSheath,WeightCulm,WeightRootage,WeightSpike,WeightRoughRice,WeightEndosperm,WeightTotal,SurfaceAreaOfLeafBlade,SurfaceAreaOfRootage,NumberOfRoughRice,VolumeOfRoughRice,SnChemicalFertilizer,SnCoatedFertilizer,SnOrganicFertilizer,SnOrganicDecomposition,SnWater,SnRain,SoilNitrogenFixation,SnSum,Loss,Denitrification,SoilNitrogenConcentration,NitrogenAssimilation,NitrogenTranslocation,RnLeafBlade,RnLeafSheath,RnCulm,RnRootage,RnSpike,RnRoughRice,RnEndosperm,RnSum,DnLeafBlade,DnLeafSheath,DnCulm,DnRootage,DnSpike,DnRoughRice,DnEndosperm,DaytimeTemperture,NighttimeTemperture,SolarRadiation,Rainfall,Humidity,SourceW,DrainW,EvaporationFromWaterSurface,EvaporationFromLeafSurface,Osmosis,TimeOfSourceW,DaytimeWaterDepth,NighttimeWaterDepth,DaytimeWaterTemperture,TempertureOfWaterForIrrigation,EarlyMorningWaterDepth,VolumeOfSourceWater,WaterDepthAfterWaterEntry,IncreasingDaytimeTemperture,DecreasingNighttimeTemperture,EarlyMorningWaterTemperture,TempertureAfterWaterEntry,EveningWaterTemperture,NighttimeWaterTemperture,RiceScreeningsRate,WeightGrossBrownRice,WeightBrownRice,MilkyWhiteRiceRate,Protein,Amylose,Amylopectin,Moisture,AccumulationOfNitrogenDistributionAmountOfLeafBlade,VariableForSurfaceDrainage,ElapsedDaysSincePanicleDifferentiation,ElapsedDaysSinceHeading,SumOfSucroseAccumulationSincePanicleDifferentiation
2019/4/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/5/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/5/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/5/3,,0.5,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,6,,,,16,0.0144,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/5/4,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,6,,,,16,0.0144,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,
2019/5/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/5/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/5/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/5/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/5/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
