#年月日,日中平均気温,夜間平均気温,降水量,平均湿度,日中累積日射量
Date,DaytimeTemperture,NighttimeTemperture,Rainfall,Humidity,SolarRadiation
2019/4/1,3.45,0.3,8.5,92,8.72
2019/4/2,2.11,0.01,0.5,82,17.11
2019/4/3,4.68,-0.33,0,68,20.7
2019/4/4,8.32,1.43,0,66,14.5
2019/4/5,14.82,5.09,0,55,23.45
2019/4/6,10.74,7.55,0,45,25.6
2019/4/7,10.89,5.21,0,56,18.54
2019/4/8,8.03,1.82,0,61,20.46
2019/4/9,10.2,4.03,0,57,22.34
2019/4/10,6.12,2.53,6,75,6.92
2019/4/11,4.04,0.83,18.5,93,10.21
2019/4/12,8.21,0.47,0,75,16.63
2019/4/13,11.25,2.6,0,63,26.54
2019/4/14,12.1,3.92,0,78,22.58
2019/4/15,12.92,11.07,8.5,75,26.41
2019/4/16,14.18,7.12,0,63,26.92
2019/4/17,13.8,4.89,0,73,23.32
2019/4/18,16.56,9.69,0,77,25.77
2019/4/19,14.16,11.85,1,66,13.13
2019/4/20,12.53,4.16,0,52,26.4
2019/4/21,13.77,7.13,0,62,15.16
2019/4/22,18.1,11.18,0,53,26.26
2019/4/23,14.05,6.42,0,65,25.79
2019/4/24,15.77,10.73,2,91,13.23
2019/4/25,16.25,14.32,7,94,8.8
2019/4/26,6.87,10.81,16,86,3.17
2019/4/27,6.34,5.01,5,89,8.28
2019/4/28,12.11,4.22,0,66,27.69
2019/4/29,12.58,6.34,0,71,27.87
2019/4/30,12.88,11.14,17,95,3.22
2019/5/1,17.54,13.23,3,89,12.09
2019/5/2,15.33,14.22,0,53,25.04
2019/5/3,17.07,10.03,0,62,28.19
2019/5/4,16.83,9.04,0,54,29.37
2019/5/5,17.48,9.7,0,70,28.12
2019/5/6,17.38,14.84,22.5,88,17.05
2019/5/7,12.33,12.92,4.5,64,26.03
2019/5/8,17.11,8.28,0,52,28.82
2019/5/9,18.37,11.66,0,58,22.01
2019/5/10,19,12.24,0,54,27.97
2019/5/11,15.63,12.57,0,63,27.14
2019/5/12,12.81,9.4,0,69,29.51
2019/5/13,13.28,6.94,0,71,29.5
2019/5/14,16.39,10.81,0,83,16.53
2019/5/15,15.93,15.25,13,93,9.56
2019/5/16,17.31,13.16,0,88,21.74
2019/5/17,18.55,13.44,0,86,26.01
2019/5/18,19.36,15.12,0,78,27.35
2019/5/19,19.87,17.07,0,81,24.83
2019/5/20,19.94,17.16,0,83,22.92
2019/5/21,17.76,17.48,28.5,92,3.54
2019/5/22,18.71,14.73,0,78,26.37
2019/5/23,20.01,13.31,0,70,30.26
2019/5/24,21.42,14.6,0,58,28.05
2019/5/25,21.93,16.76,0,60,29.33
2019/5/26,24.43,16.23,0,60,27.75
2019/5/27,25.66,19.06,0,66,28.26
2019/5/28,23.16,19.51,0.5,76,14.32
2019/5/29,18.7,19.32,22,81,19.13
2019/5/30,20.83,14.5,0,64,30.33
2019/5/31,18.89,16.1,8.5,84,15.96
2019/6/1,20.73,16.57,0,81,26.44
2019/6/2,21.55,16.3,0,75,27.67
2019/6/3,21.83,18.32,0,86,26.77
2019/6/4,21.94,18.76,0,83,28.98
2019/6/5,22.39,18.47,0.5,85,23.96
2019/6/6,22.59,19.55,0.5,80,19.17
2019/6/7,17.33,15.28,5.5,95,8.84
2019/6/8,17.75,16.52,13.5,92,6.66
2019/6/9,16.98,15.07,0,76,24.5
2019/6/10,17.06,12.76,0,78,9.25
2019/6/11,16.64,14.94,1.5,82,6.74
2019/6/12,17.54,14.45,1,77,13.2
2019/6/13,19.07,12.5,0,74,28.4
2019/6/14,20.93,16.3,0,78,28.2
2019/6/15,17.08,19.27,23.5,86,4.9
2019/6/16,18.42,16,33,87,6.6
2019/6/17,19,17.33,0,64,21.7
2019/6/18,18.29,13.7,0,82,13.8
2019/6/19,19.08,17.18,6,89,6.7
2019/6/20,21.15,17.25,0,85,24.8
2019/6/21,19.57,17.5,0,88,16.2
2019/6/22,21.67,19.91,25.5,87,13.2
2019/6/23,20.54,18.25,1,84,18.4
2019/6/24,16.83,16.18,10.5,90,6
2019/6/25,20.46,16.33,2,84,20.7
2019/6/26,23.43,18.1,0,81,26.6
2019/6/27,23.23,20,14,82,10.7
2019/6/28,18.85,20.42,24,90,7
2019/6/29,17.25,16.09,12,91,7
2019/6/30,18.5,17,10.5,95,5
2019/7/1,21.92,17.33,0,87,15.8
2019/7/2,25.31,20.64,0,80,17.9
2019/7/3,22.64,20.2,0,79,24.3
2019/7/4,20.67,19.5,27.5,89,7.6
2019/7/5,21.38,18.55,0,80,17.2
2019/7/6,19.69,19,0,90,11.8
2019/7/7,18.85,18.18,0,84,17.5
2019/7/8,18.5,16.4,0,80,27.1
2019/7/9,18.25,16.73,0,86,15.1
2019/7/10,19.62,15.83,0,83,25.8
2019/7/11,19.38,16.09,1,85,17.4
2019/7/12,18.75,18,29,92,7.6
2019/7/13,24.08,19,0,80,19.6
2019/7/14,20.25,20.45,2.5,94,4.7
2019/7/15,22.23,19.17,0,83,15.7
2019/7/16,21.08,19.27,0,90,11.4
2019/7/17,23.15,20,0,88,14.4
2019/7/18,24.84,21.86,9.95,83,13.82
2019/7/19,24.69,21.65,2.4,78,16.44
2019/7/20,23.7,21.16,4.3,79,15.49
2019/7/21,23.51,20.4,1.3,79,17.21
2019/7/22,23.63,20.57,1.1,79,17.07
2019/7/23,23.98,20.95,1.05,81,12.36
2019/7/24,24.69,21.84,6.25,85,11.19
2019/7/25,25.49,22.28,3.2,84,15.74
2019/7/26,26.32,22.87,7.5,80,19.11
2019/7/27,25.86,22.41,11.35,76,18.92
2019/7/28,26.11,22.39,3.4,79,17.21
2019/7/29,25.66,23.25,10.35,85,14.09
2019/7/30,25.41,22.63,1.35,86,14.6
2019/7/31,26.04,22.8,0.65,82,16.71
2019/8/1,25.81,22.64,1.2,81,16.3
2019/8/2,25.83,22.45,2.95,80,18.05
2019/8/3,25.7,21.97,0.35,81,15.9
2019/8/4,26.36,22.51,0.3,81,18.67
2019/8/5,27.31,23.36,8.75,81,19.2
2019/8/6,27.18,23.76,3.95,80,17.1
2019/8/7,26.43,23.41,2.5,82,15.97
2019/8/8,25.87,23.17,4.3,84,11.32
2019/8/9,24.97,22.46,4.6,83,12.26
2019/8/10,26.07,22.45,4.2,80,15.78
2019/8/11,26.25,23.06,1,79,15.15
2019/8/12,25.76,22.49,3.25,80,14.05
2019/8/13,25.8,22.07,2,78,17.3
2019/8/14,25.67,22.42,3.75,80,16.41
2019/8/15,25.93,22.16,1.3,81,15.62
2019/8/16,25.67,23,6.5,82,13.64
2019/8/17,25.78,23.1,7.7,80,14.42
2019/8/18,25.19,22.73,1.75,80,15.3
2019/8/19,25.28,21.94,0.05,77,16.05
2019/8/20,25.2,21.86,2,81,12.71
2019/8/21,25.52,22.29,1.65,83,13.01
2019/8/22,26.12,22.59,6.55,83,15.34
2019/8/23,26.09,22.67,1.9,78,14.99
2019/8/24,25.99,22.59,2.55,78,15.23
2019/8/25,25.72,21.89,0.75,77,13.27
2019/8/26,24.53,21.98,5.2,81,12.73
2019/8/27,23.29,20.68,4.5,80,12.57
2019/8/28,23.77,20.19,3.85,80,12.33
2019/8/29,24.37,20.92,2.75,84,10.97
2019/8/30,23.66,21.44,9.65,83,9.7
2019/8/31,23.56,21.01,10.25,85,12.35
2019/9/1,24.67,21.2,2.35,82,14.91
2019/9/2,24.24,21.63,4.9,83,11.63
2019/9/3,24.43,20.87,0.05,79,13.75
2019/9/4,24.87,21.52,1.95,81,11.89
2019/9/5,25.12,21.72,2.65,81,15.86
2019/9/6,24.54,21.68,2.35,76,14.39
2019/9/7,23.04,20.48,3.8,79,11.57
2019/9/8,22.56,19.83,5.65,81,9.9
2019/9/9,22.91,19.39,3.9,77,15.37
2019/9/10,23.36,19.34,4.2,75,15.49
2019/9/11,22.59,19.75,6.55,81,10.39
2019/9/12,22.53,19.55,9.7,79,11.53
2019/9/13,22.82,19.44,6.75,80,13.03
2019/9/14,22.65,19.2,0.8,78,15.09
2019/9/15,22.09,18.69,5.6,79,12.71
2019/9/16,22.57,19.07,5,78,12.02
2019/9/17,22.08,18.45,5.3,74,13.93
2019/9/18,22.27,18.37,4.3,72,15.9
2019/9/19,21.55,17.89,1,73,14.05
2019/9/20,20.35,17.21,9.5,75,10.96
2019/9/21,20.07,16.42,21.95,75,12.37
2019/9/22,20.41,16.54,5.75,77,11.62
2019/9/23,19.69,16.49,7.6,77,10.41
2019/9/24,20.26,15.91,0.6,76,13.7
2019/9/25,19.63,17.21,5.6,81,9.83
2019/9/26,19.69,15.82,1.6,72,14.37
2019/9/27,18.96,15.19,4,74,11.6
2019/9/28,19.03,15.69,8.35,78,11.05
2019/9/29,19.29,15.85,1.95,72,12.5
2019/9/30,19.19,15.3,1.7,73,12.08
2019/10/1,20.14,16.42,4.2,68,15.86
2019/10/2,18.87,16.21,5.5,72,11.04
2019/10/3,19.45,15.6,2.6,70,10.67
2019/10/4,18.4,15.16,0.35,64,13.41
2019/10/5,17,12.77,2.35,71,9.52
2019/10/6,18.07,14.73,11.75,78,9.11
2019/10/7,18.73,15.91,2.5,72,11.42
2019/10/8,17.95,13.45,13.4,72,12.81
2019/10/9,18.07,14.11,1.35,71,11.39
2019/10/10,18.46,13.83,2.8,74,12.48
2019/10/11,17.58,14.62,2.75,75,9.12
2019/10/12,16.66,12.97,0.65,66,11.46
2019/10/13,16.38,12.14,2.3,66,11.46
2019/10/14,16.3,11.28,6.5,69,12.76
2019/10/15,16.25,12.38,3.1,71,10.24
2019/10/16,15.15,11.22,8.75,70,12.03
2019/10/17,16.23,11.04,1.5,71,11.21
2019/10/18,16.3,11.89,0.1,64,13.81
2019/10/19,14.49,9.42,0,69,10.47
2019/10/20,15.6,10.78,5.7,76,9.89
2019/10/21,16.31,12.05,1.15,72,9.89
2019/10/22,15.26,12.29,7.5,76,8.3
2019/10/23,14.98,11.06,7.1,73,9.92
2019/10/24,14.54,10.48,1.3,71,9.33
2019/10/25,14.18,10.27,6,72,9.72
2019/10/26,14.43,10.79,4.55,68,11.41
2019/10/27,14.16,9.93,2.25,66,11.97
2019/10/28,13.4,9.05,4.75,70,9.48
2019/10/29,13.75,9.61,5.6,70,11.1
2019/10/30,13.06,9.1,0.75,67,10.16
2019/10/31,12.39,8.41,2.4,71,7.95
2019/11/1,12.61,9.21,4.45,73,8.38
2019/11/2,11.85,7.88,2.5,72,9.47
2019/11/3,12.34,8.25,0.1,67,11.45
2019/11/4,12.81,7.94,0.55,66,11.48
2019/11/5,12.7,7.43,0.15,66,9.83
2019/11/6,13.08,8.55,3.65,74,9.44
2019/11/7,12.55,8.78,1.7,69,9.84
2019/11/8,12.44,8.02,1.95,69,8.21
2019/11/9,11.96,9.63,3.8,70,7.93
2019/11/10,12.71,9.01,0.7,67,9.36
2019/11/11,9.9,6.98,5.9,71,6.7
2019/11/12,10.36,6.54,2.85,71,8.15
2019/11/13,10.55,6.66,0.15,68,8.63
2019/11/14,10.51,6.94,4.5,73,6.33
2019/11/15,10.76,8.12,1.3,66,7.7
2019/11/16,9.04,5.34,0,63,8.96
2019/11/17,8.77,5,2.45,70,6.99
2019/11/18,8.98,4.74,1.25,66,9.96
2019/11/19,7.91,4.5,2.1,70,7.81
2019/11/20,8.57,4.74,0.2,67,7.73
2019/11/21,7.04,3.51,0.75,65,9.45
2019/11/22,8.77,3.53,0.75,68,8.56
2019/11/23,7.3,5.7,1.1,71,6.44
2019/11/24,6.41,3.64,0.8,66,7.63
2019/11/25,5.93,2.35,1.2,71,5.93
2019/11/26,7.86,4.26,5.75,70,7.29
2019/11/27,7.89,4.47,0.4,66,9.82
2019/11/28,8.49,4.76,0.05,64,8.18
2019/11/29,7.27,4.11,1.25,68,6.82
2019/11/30,6.22,4.13,0.2,69,6.16
