NO,農場,圃場名,農場ID,圃場ID
1,ファーム小栗山,130,2a00ec66-7422-493c-9491-11eb825b21dd,3deaa07c-5905-4e93-9292-fed9f5577a7f
2,ファーム小栗山,129,2a00ec66-7422-493c-9491-11eb825b21dd,305733a3-52f7-460d-915b-bd2824c9ef90
3,ファーム小栗山,128,2a00ec66-7422-493c-9491-11eb825b21dd,8e16a277-9f0c-42b0-b832-6457e24754ff
4,ファーム小栗山,109,2a00ec66-7422-493c-9491-11eb825b21dd,80fdd9e4-1697-427c-94e3-3cb698e7010f
5,ファーム小栗山,107,2a00ec66-7422-493c-9491-11eb825b21dd,e0e92c4e-1c80-44c8-bdb8-21910d3cd3ad
6,横田農場,A1-12,96c17fb4-af47-4a24-9fdc-8a21b5fa9d2a,7df9bd66-8ce0-417e-853d-00748bc11043
7,横田農場,A1-08,96c17fb4-af47-4a24-9fdc-8a21b5fa9d2a,3e4c610b-fef9-4f59-9bfc-c3cadcaaffd4
8,横田農場,E3-02,96c17fb4-af47-4a24-9fdc-8a21b5fa9d2a,46f8c729-ffa2-46ad-ae1c-1dfd06116205
9,横田農場,E3-03,96c17fb4-af47-4a24-9fdc-8a21b5fa9d2a,8f84be25-6f60-4ca9-b163-828d6d66da3a
10,横田農場,C5-10,96c17fb4-af47-4a24-9fdc-8a21b5fa9d2a,47a9a888-091c-497e-9c24-32a466b1ffb5
11,横田農場,C5-04,96c17fb4-af47-4a24-9fdc-8a21b5fa9d2a,a3ea7e05-1347-43e5-8e43-80798288ad60
12,全農新潟県本部,味方ふぁーむ1,803ef225-425c-47b3-976f-26d44a1b42b1,242faf37-868d-4dac-b1bb-d31ab4632a69
13,全農新潟県本部,味方ふぁーむ2,803ef225-425c-47b3-976f-26d44a1b42b1,e5faf873-0826-4d82-84e3-b01618614162
14,全農新潟県本部,味方ふぁーむ3,803ef225-425c-47b3-976f-26d44a1b42b1,609fc86b-a2b0-4a37-b05f-a4c381868738
15,全農,媚山圃場(センシング),5c7c65a0-c4fa-4d6b-84e3-3b4f06d22fb4,a7ee6453-c495-4670-93c7-466c87eb8f6f
16,全農広島県本部,高坂１つきあかり,88414550-25fa-4fa9-9407-dbfb800048c9,52e90c81-cc79-4dc4-ac4a-62cffe75e0e1
17,全農広島県本部,高坂２つきあかり,88414550-25fa-4fa9-9407-dbfb800048c9,e3f8e3e0-c37e-48f1-942b-ffcfa69c1fd1
18,全農広島県本部,高坂３つきあかり,88414550-25fa-4fa9-9407-dbfb800048c9,6907760e-21a7-45c7-b513-104caec89117
19,全農広島県本部,高坂４恋初めし,88414550-25fa-4fa9-9407-dbfb800048c9,298ede7c-5480-48f5-a696-5afb2c38d8e1
20,全農広島県本部,高坂５モミロマン,88414550-25fa-4fa9-9407-dbfb800048c9,1a1f7a22-8778-4e21-b8b9-61c63921a88b
21,営農・技術センター（平塚）_実験,西山圃場 16a,2237c48a-50b0-4a33-a983-fb5569a08224,4c3a6ed8-3a75-408c-b831-45c7ba0e52bb
22,ソメノグリーンファーム,加藤忠夫(大),1e0a1a6f-955f-4d02-b298-a6f92986a22e,4c9c00d2-831c-4ccb-aaa7-9b77cd1fd534
