NO,農場,圃場名,農場ID,圃場ID
1,JA夢みなみ,蓑輪字沖25,f2786a61-69e7-4396-a618-ad751d8814a6,6996fefd-e369-4d69-8eea-b1233510095d
2,JA夢みなみ,蓑輪字沖26,f2786a61-69e7-4396-a618-ad751d8814a6,82716a50-c6ff-4c25-8940-4c1439b4d428
3,JA夢みなみ,蓑輪字沖27,f2786a61-69e7-4396-a618-ad751d8814a6,eff0d517-ee9e-4e91-aed2-f389c6a19112
4,JA夢みなみ,蓑輪字沖28,f2786a61-69e7-4396-a618-ad751d8814a6,2b84a00f-977a-486f-b867-fbded49f09b9
5,JA夢みなみ,蓑輪字沖39,f2786a61-69e7-4396-a618-ad751d8814a6,bada39b3-cda5-4f00-9ed1-01fc901d44f6
6,JA夢みなみ,浅川町蓑輪池下26,f2786a61-69e7-4396-a618-ad751d8814a6,381b5ea1-c915-48d8-bbb8-14634ad39948
7,JA夢みなみ,社田　八木沼　1,f2786a61-69e7-4396-a618-ad751d8814a6,f5ffe63d-df30-44c6-b3d3-181db5a61a08
8,JA夢みなみ,小貫　八木沼　2,f2786a61-69e7-4396-a618-ad751d8814a6,bffd51b7-ce8d-427c-af6f-32b9121742ab
9,JA夢みなみ,7-圃場,f2786a61-69e7-4396-a618-ad751d8814a6,ec9ae06d-0808-4bee-b7b0-bb23731a22d7
10,JA夢みなみ,小貫4,f2786a61-69e7-4396-a618-ad751d8814a6,04bc6386-edfa-457c-9538-edb061df20a8
11,JA夢みなみ,8-圃場,f2786a61-69e7-4396-a618-ad751d8814a6,4fda9d73-b5e9-4907-9b84-e7d8e98b9608
12,JA夢みなみ,9-圃場,f2786a61-69e7-4396-a618-ad751d8814a6,4c3f90d0-1aab-4fc3-9367-42237c47ad6b
13,JA夢みなみ,10-圃場,f2786a61-69e7-4396-a618-ad751d8814a6,bce3ba33-937e-4ef8-8a0e-0e18a2ce09f3
14,JA夢みなみ,太田輪　大河内　2,f2786a61-69e7-4396-a618-ad751d8814a6,834c5f93-06f5-46e9-b652-54b09257b6ad
15,JA夢みなみ,太田輪　大河内　1,f2786a61-69e7-4396-a618-ad751d8814a6,fcfd8a7d-a72f-4972-93db-3993546ab8df
16,JA夢みなみ,染　八旗　1,f2786a61-69e7-4396-a618-ad751d8814a6,b33a7bbb-f2d9-4569-bda6-51c67c7a98e3
17,JA夢みなみ,染　赤坂,f2786a61-69e7-4396-a618-ad751d8814a6,f72e9179-e01b-4e1b-b253-a376429eb62a
